feature,importance_mean,importance_std
pair_JEDI_NABO,9.209146604511886e-05,0.0003932317191473544
pair_JEDI_MNDO,8.239186761187512e-05,0.00013903351996366966
pair_CORL_TECH,5.9317852857176945e-05,0.00016528378368164305
pair_CORL_DRC,4.85210985875284e-05,0.00036627071472936345
pair_JEDI_POBK,4.5097565824292475e-05,0.0003681951112036381
pair_DRC_NABO,1.8779557832182547e-05,0.0005101168254603265
pair_CLNE_DRC,1.6386013743030502e-05,0.0003576064010157263
pair_BSKR_KYBR,1.59113205716821e-05,0.00030479326608067483
pair_BSKR_NABO,0.0,0.0
pair_CORL_REBL,0.0,0.0
requested_quarter,0.0,0.0
log_notional_credits,0.0,0.0
no_call_observation_count,0.0,0.0
requested_year,0.0,0.0
is_single_underlying,0.0,0.0
requested_month,0.0,0.0
is_worst_of,0.0,0.0
notional_credits,0.0,0.0
pair_CLNE_KYBR,0.0,0.0
pair_BSKR_REBL,0.0,0.0
underlying_JEDI,0.0,0.0
underlying_NABO,0.0,0.0
pair_CLNE_HTTX,0.0,0.0
pair_BSKR_POBK,0.0,0.0
pair_BSKR_TECH,0.0,0.0
pair_CLNE_JEDI,0.0,0.0
counterparty,0.0,0.0
realized_minus_structural_vol_mean,0.0,0.0
quoted_minus_structural_vol_mean,0.0,0.0
quoted_to_realized_vol_ratio,0.0,0.0
trader_id,0.0,0.0
quoted_to_structural_vol_ratio,0.0,0.0
basket_complexity_score,0.0,0.0
pair_POBK_WOOK,0.0,0.0
pair_CLNE_TECH,0.0,0.0
pair_CLNE_POBK,0.0,0.0
pair_CLNE_REBL,0.0,0.0
pair_HTTX_KYBR,0.0,0.0
pair_NABO_SITH,0.0,0.0
pair_NABO_POBK,0.0,0.0
pair_JEDI_TECH,0.0,0.0
pair_KYBR_MNDO,0.0,0.0
pair_KYBR_REBL,0.0,0.0
pair_KYBR_NABO,0.0,0.0
pair_CORL_POBK,0.0,0.0
pair_CORL_SITH,0.0,0.0
pair_CORL_KYBR,0.0,0.0
pair_CLNE_SITH,0.0,0.0
pair_DRC_SITH,0.0,0.0
pair_DRC_MNDO,0.0,0.0
pair_HTTX_NABO,0.0,0.0
pair_HTTX_MNDO,0.0,0.0
pair_DRC_POBK,0.0,0.0
pair_HTTX_JEDI,0.0,0.0
pair_HTTX_POBK,0.0,0.0
pair_NABO_WOOK,0.0,0.0
pair_POBK_TECH,0.0,0.0
pair_POBK_SITH,0.0,0.0
implied_minus_realized_vol_mean,0.0,0.0
pair_MNDO_TECH,0.0,0.0
pair_CORL_NABO,-3.751942496421634e-06,0.00035265565828465487
pair_BSKR_DRC,-3.911268899869924e-06,0.0002464814237839745
pair_SITH_TECH,-3.4188247901134616e-05,6.303972721548063e-05
pair_SITH_WOOK,-6.109102538722765e-05,0.00012568498506172884
pair_CLNE_NABO,-8.229843615890076e-05,0.0014948059311744864
pair_CLNE_CORL,-8.549342740344912e-05,7.9376968235303e-05
pair_KYBR_SITH,-0.00011796302067210718,0.0007580633329862123
pair_NABO_TECH,-0.00012236074154028386,0.000282461064570483
is_daily_observation,-0.0001543718064800359,0.0005075200712164075
pair_MNDO_NABO,-0.0002223300817288276,0.00011120971750459835
underlying_POBK,-0.0003610826076107188,0.0009508573491781862
pair_NABO_REBL,-0.0003641893820201858,0.00020901168545135808
pair_REBL_WOOK,-0.0004530471458188856,0.00027613895940190074
pair_BSKR_HTTX,-0.0004556635400172482,0.00023839780774254999
pair_REBL_SITH,-0.00048065746328180837,0.0002790405293669169
pair_TECH_WOOK,-0.0005215967124543753,0.0002767435300406605
basket_realized_vol_trend_mean,-0.0005553071831426948,0.0016376859135620262
pair_HTTX_TECH,-0.0008495899479658675,0.0003125995561911639
pair_MNDO_WOOK,-0.0010600026436408782,0.0007663048755209287
pair_DRC_JEDI,-0.0012066953399790137,0.0012892066690353378
pair_BSKR_MNDO,-0.0012127218908478455,0.003755701350728811
pair_DRC_REBL,-0.0012887736348220712,0.0006486657444956048
pair_JEDI_KYBR,-0.001433256644479286,0.0005663753142348343
pair_REBL_TECH,-0.00154056415590631,0.001013665651257631
underlying_CORL,-0.0019835695057448532,0.0012445707653275684
pair_KYBR_POBK,-0.0024069548893184134,0.0011313287151852784
realized_vol_63d_mean,-0.0026224663552929075,0.002008322233968891
realized_vol_63d_top2_spread,-0.0026992748569746538,0.0012533498280244352
sector_count,-0.004632896003717413,0.0008417908913393255
structural_base_vol_min,-0.005113192121101129,0.0013038627787574407
