feature,model_count,avg_rank,worst_rank,avg_relative_mean_abs_shap,max_relative_mean_abs_shap,feature_type,train_target_spearman,target_correlation_direction,abs_train_target_spearman,pruning_candidate
quoted_implied_vol,1,49.0,49,0.0020095783512096878,0.0020095783512096878,numeric,-0.04688373408023709,mixed_or_flat,0.04688373408023709,False
worst_of_structural_vol_top2_spread,1,48.0,48,0.002068327626341679,0.002068327626341679,numeric,0.35640352537446923,positive,0.35640352537446923,False
basket_realized_vol_126d_max,1,47.0,47,0.0020961377969337175,0.0020961377969337175,numeric,0.010465006007553658,mixed_or_flat,0.010465006007553658,False
structural_base_vol_range,1,46.0,46,0.0022398304466457984,0.0022398304466457984,numeric,0.3749292904437324,positive,0.3749292904437324,False
protection_buffer_pct,1,45.0,45,0.002289355928592581,0.002289355928592581,numeric,0.3108177141055571,positive,0.3108177141055571,False
structural_vol_dispersion_ratio,1,44.0,44,0.002326760066805618,0.002326760066805618,numeric,0.3395410480486598,positive,0.3395410480486598,False
realized_vol_63d_mean,1,43.0,43,0.002331398611991147,0.002331398611991147,numeric,-0.1090573589434123,negative,0.1090573589434123,False
structural_base_vol_min,1,42.0,42,0.002343553723475659,0.002343553723475659,numeric,-0.2422425960684044,negative,0.2422425960684044,False
structural_base_vol_mean,1,41.0,41,0.0024899485673023185,0.0024899485673023185,numeric,-0.04858656368062599,mixed_or_flat,0.04858656368062599,False
second_highest_realized_vol_underlying,1,40.0,40,0.002693879881680328,0.002693879881680328,categorical,,categorical_not_ordered,,False
basket_realized_vol_126d_mean,1,39.0,39,0.0028500815660701404,0.0028500815660701404,numeric,-0.10860179416207734,negative,0.10860179416207734,False
realized_vol_63d_second_highest,1,38.0,38,0.003382342038313202,0.003382342038313202,numeric,0.10302958798253814,positive,0.10302958798253814,False
structural_base_vol_second_highest,1,37.0,37,0.003605991926259497,0.003605991926259497,numeric,0.13959761390807582,positive,0.13959761390807582,False
basket_realized_vol_21d_mean,1,36.0,36,0.003910078959756754,0.003910078959756754,numeric,-0.10544292228731851,negative,0.10544292228731851,False
