segment,feature,train_target_corr,validation_target_corr,corr_range,validation_sign_flip_vs_train,abs_validation_shift_in_train_sd
single,nominal_maturity_months,0.3073455381994235,0.36122560157824757,0.05388006337882406,False,0.04586185573030927
single,quoted_to_realized_vol_ratio,0.3167724056420868,0.27137447323004316,0.04539793241204365,False,0.0686791784565282
single,requested_quarter,-0.02571950151867526,-0.0700631798680281,0.044343678349352836,False,0.006381282039897488
single,underlying_NABO,0.340611522343605,0.3834031064206423,0.042791584077037315,False,0.06410963429519495
single,basket_realized_vol_126d_mean,-0.5954495111136991,-0.6376552282291227,0.042205717115423536,False,0.012320841385825013
single,basket_realized_vol_126d_max,-0.5954495111136991,-0.6376552282291227,0.042205717115423536,False,0.012320841385825013
single,underlying_KYBR,0.09072709381284033,0.13034739078621785,0.03962029697337752,False,0.06794588599761303
single,requested_month,-0.027068306261722165,-0.0648323144751297,0.037764008213407536,False,0.010272963964085651
single,autocall_barrier_pct,0.22219392236390023,0.18597557134071654,0.03621835102318369,False,0.012410091129888586
single,autocall_barrier_above_par_pct,0.22219392236390023,0.18597557134071657,0.03621835102318366,False,0.012410091129890112
single,underlying_REBL,-0.292682023946661,-0.3284260689007455,0.03574404495408451,False,0.0935557049752384
single,underlying_TECH,-0.08914099230213614,-0.057312702702621975,0.03182828959951416,False,0.03699689763038625
single,implied_minus_realized_vol_mean,0.4231198760712656,0.39422511267760113,0.02889476339366448,False,0.0638846367646224
single,realized_vol_63d_mean,-0.6076098026318986,-0.6348777884828036,0.027267985850905063,False,0.009845322498505012
single,realized_vol_63d_min,-0.6076098026318986,-0.6348777884828036,0.027267985850905063,False,0.009845322498505012
single,realized_vol_63d_max,-0.6076098026318986,-0.6348777884828036,0.027267985850905063,False,0.009845322498505012
single,underlying_DRC,-0.06424789197699447,-0.03910108536598453,0.025146806611009945,False,0.040263113516127644
single,underlying_HTTX,-0.32857364521115756,-0.35255366567007396,0.023980020458916396,False,0.09806963256158456
single,realized_minus_structural_vol_mean,-0.4387003385261257,-0.41506361650474405,0.023636722021381673,False,0.05541334421412862
