feature_block,feature
compact_core,realized_vol_63d_min
compact_core,sector_concentration
compact_core,sector_count
compact_core,structural_base_vol_max
compact_core,structural_base_vol_min
compact_core,structural_base_vol_range
compact_core,structural_vol_dispersion_ratio
compact_core,worst_of_vol_pressure
contractual,autocall_barrier_above_par_pct
contractual,autocall_barrier_pct
contractual,autocall_to_protection_ratio
contractual,barrier_gap_pct
contractual,callable_maturity_months
contractual,estimated_observation_count
contractual,is_daily_observation
contractual,log_notional_credits
contractual,no_call_fraction_of_maturity
contractual,no_call_observation_count
contractual,no_call_period_months
contractual,nominal_maturity_months
contractual,notional_credits
contractual,observation_frequency_clean
contractual,observation_interval_months
contractual,post_no_call_observation_count
contractual,protection_barrier_pct
contractual,protection_buffer_pct
date,requested_month
date,requested_quarter
date,requested_year
global_all_underlying,autocall_barrier_above_par_pct
global_all_underlying,autocall_barrier_pct
global_all_underlying,autocall_to_protection_ratio
global_all_underlying,barrier_gap_pct
global_all_underlying,basket_complexity_score
global_all_underlying,basket_realized_vol_126d_max
global_all_underlying,basket_realized_vol_126d_mean
global_all_underlying,basket_realized_vol_21d_max
global_all_underlying,basket_realized_vol_21d_mean
global_all_underlying,basket_signature
global_all_underlying,basket_size
global_all_underlying,basket_type
global_all_underlying,callable_maturity_months
global_all_underlying,dominant_sector
global_all_underlying,estimated_observation_count
global_all_underlying,has_multiple_sectors
global_all_underlying,highest_realized_vol_underlying
global_all_underlying,highest_structural_vol_underlying
global_all_underlying,highest_vol_sector
global_all_underlying,is_daily_observation
global_all_underlying,is_single_underlying
global_all_underlying,is_worst_of
global_all_underlying,lowest_realized_vol_underlying
global_all_underlying,lowest_structural_vol_underlying
global_all_underlying,no_call_fraction_of_maturity
global_all_underlying,no_call_period_months
global_all_underlying,nominal_maturity_bucket
global_all_underlying,nominal_maturity_months
global_all_underlying,observation_frequency_clean
global_all_underlying,observation_interval_months
global_all_underlying,pair_BSKR_CLNE
global_all_underlying,pair_BSKR_CORL
global_all_underlying,pair_BSKR_DRC
global_all_underlying,pair_BSKR_HTTX
global_all_underlying,pair_BSKR_JEDI
global_all_underlying,pair_BSKR_KYBR
global_all_underlying,pair_BSKR_MNDO
global_all_underlying,pair_BSKR_NABO
global_all_underlying,pair_BSKR_POBK
global_all_underlying,pair_BSKR_REBL
global_all_underlying,pair_BSKR_SITH
global_all_underlying,pair_BSKR_TECH
global_all_underlying,pair_BSKR_WOOK
global_all_underlying,pair_CLNE_CORL
global_all_underlying,pair_CLNE_DRC
global_all_underlying,pair_CLNE_HTTX
global_all_underlying,pair_CLNE_JEDI
global_all_underlying,pair_CLNE_KYBR
global_all_underlying,pair_CLNE_MNDO
global_all_underlying,pair_CLNE_NABO
global_all_underlying,pair_CLNE_POBK
global_all_underlying,pair_CLNE_REBL
global_all_underlying,pair_CLNE_SITH
global_all_underlying,pair_CLNE_TECH
global_all_underlying,pair_CLNE_WOOK
global_all_underlying,pair_CORL_DRC
global_all_underlying,pair_CORL_HTTX
global_all_underlying,pair_CORL_JEDI
global_all_underlying,pair_CORL_KYBR
global_all_underlying,pair_CORL_MNDO
global_all_underlying,pair_CORL_NABO
global_all_underlying,pair_CORL_POBK
global_all_underlying,pair_CORL_REBL
global_all_underlying,pair_CORL_SITH
global_all_underlying,pair_CORL_TECH
global_all_underlying,pair_CORL_WOOK
global_all_underlying,pair_DRC_HTTX
global_all_underlying,pair_DRC_JEDI
global_all_underlying,pair_DRC_KYBR
global_all_underlying,pair_DRC_MNDO
global_all_underlying,pair_DRC_NABO
global_all_underlying,pair_DRC_POBK
global_all_underlying,pair_DRC_REBL
global_all_underlying,pair_DRC_SITH
global_all_underlying,pair_DRC_TECH
global_all_underlying,pair_DRC_WOOK
global_all_underlying,pair_HTTX_JEDI
global_all_underlying,pair_HTTX_KYBR
global_all_underlying,pair_HTTX_MNDO
global_all_underlying,pair_HTTX_NABO
global_all_underlying,pair_HTTX_POBK
global_all_underlying,pair_HTTX_REBL
global_all_underlying,pair_HTTX_SITH
global_all_underlying,pair_HTTX_TECH
